# evidence_sha256 707e83046d9df14e124fedc8e5763be1f4376772b72a1d6cf246786e652cf865
conversation_id	verdict	topics	article_ids
run:1a2b3c4d	recipe	inschrijvingen-filteren	-
run:b4c5d6e7	recipe	inschrijvingen-filteren	-
run:2b3c4d5e	partial	cabine-sluiten	A2
hs:3438828375	partial	cabine-sluiten	A2
run:3c4d5e6f	wrong_title	facturen-archief	A3
run:4d5e6f70	uncertain	online-boeken-knop	A4
run:5e6f7081	partial	openingsuren-feestdagen	A1
run:6f708192	missing	openingsuren-feestdagen	-
run:70819aa3	partial	cabine-duplicaten	A6,A7
run:8192a3b4	partial	verouderde-iframe	A8
run:92a3b4c5	not_kb	-	-
run:a3b4c5d6	answered	openingsuren	A1
